Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD
Baleful Beholder,B,C,240584,6.83,35498,9.54,60319,42.2%,55.6%,9639,53.8%,18129,55.7%,27768,55.1%,34000,56.0%,-0.9pp
Black Dragon,B,U,39533,2.95,15219,3.21,54029,86.8%,57.0%,8937,57.8%,16787,61.1%,25724,60.0%,29764,54.8%,5.2pp
The Book of Vile Darkness,B,M,8196,3.56,1464,4.34,289,4.8%,,46,,84,,130,,161,,
Check for Traps,B,U,80384,5.81,13587,7.92,24250,44.5%,53.8%,4547,54.2%,6526,51.4%,11073,52.6%,13473,54.8%,-2.2pp
Clattering Skeletons,B,C,217944,5.71,34307,7.95,73575,58.0%,55.8%,14719,55.6%,24835,56.9%,39554,56.4%,38651,55.2%,1.2pp
Deadly Dispute,B,C,217028,5.97,44068,7.55,115559,70.9%,57.6%,25781,57.7%,38405,58.5%,64186,58.2%,59777,57.2%,1.0pp
Death-Priest of Myrkul,B,U,44867,3.31,13519,3.84,41586,82.4%,54.6%,7624,52.0%,12697,55.0%,20321,53.9%,22761,55.1%,-1.3pp
Demogorgon's Clutches,B,U,78857,5.93,9326,8.88,8614,23.3%,53.4%,1526,51.2%,2206,54.9%,3732,53.4%,4971,53.4%,0.0pp
Devour Intellect,B,C,270010,8.69,28421,12.54,1582,1.5%,50.3%,271,,437,,708,47.6%,894,52.0%,-4.4pp
Drider,B,U,54159,3.92,10368,4.98,24404,64.9%,53.0%,4175,49.3%,7462,52.1%,11637,51.1%,13699,54.3%,-3.2pp
Dungeon Crawler,B,U,74192,5.26,14329,6.9,34619,61.7%,55.2%,7048,58.8%,11473,55.2%,18521,56.6%,18857,55.1%,1.5pp
"Ebondeath, Dracolich",B,M,3135,1.27,2537,1.27,9702,87.2%,57.3%,1660,62.8%,2623,60.7%,4283,61.5%,5522,53.9%,7.6pp
Eyes of the Beholder,B,C,243802,7.06,32812,9.97,29177,23.9%,52.4%,4686,47.9%,8626,52.7%,13312,51.0%,16418,53.4%,-2.4pp
Fates' Reversal,B,C,235800,6.58,36761,9.1,62693,43.5%,55.6%,11091,52.8%,18707,57.2%,29798,55.6%,34452,55.7%,-0.2pp
Feign Death,B,C,240949,6.93,32555,9.82,56040,42.8%,56.6%,9830,57.3%,15924,57.0%,25754,57.1%,31352,56.1%,1.0pp
Forsworn Paladin,B,R,8783,1.85,5286,1.81,20324,87.5%,57.9%,3641,62.7%,5461,58.8%,9102,60.4%,11503,56.0%,4.4pp
Gelatinous Cube,B,R,7631,1.54,5467,1.5,21622,89.0%,59.1%,3664,63.5%,6582,64.4%,10246,64.1%,12022,55.0%,9.1pp
Grim Bounty,B,C,99474,2.76,45165,2.98,136679,89.2%,57.5%,30853,58.7%,49187,61.2%,80040,60.3%,67309,54.9%,5.3pp
Grim Wanderer,B,U,50795,3.65,13557,4.41,45980,85.3%,56.3%,8434,56.6%,13571,56.9%,22005,56.8%,25486,55.9%,0.9pp
Herald of Hadar,B,C,242786,6.91,29055,10.08,30522,27.4%,53.2%,5051,50.3%,9257,52.7%,14308,51.8%,17062,54.0%,-2.2pp
Hired Hexblade,B,C,231280,6.33,44216,8.31,104157,67.0%,57.1%,24199,56.5%,34466,56.2%,58665,56.4%,53071,57.6%,-1.2pp
Hoard Robber,B,C,206939,5.45,36215,7.25,98905,74.6%,55.9%,22632,58.7%,31047,53.9%,53679,55.9%,51223,55.7%,0.2pp
Lightfoot Rogue,B,U,53459,3.73,11576,4.74,34958,80.3%,54.6%,6980,55.8%,9983,53.6%,16963,54.5%,19094,54.5%,-0.0pp
"Lolth, Spider Queen",B,M,2862,1.15,2529,1.15,10205,90.3%,59.4%,1677,67.7%,2747,66.3%,4424,66.8%,5812,53.8%,13.0pp
Manticore,B,C,228942,6.24,31387,8.91,49423,41.8%,54.5%,8869,52.3%,14795,54.2%,23664,53.5%,27189,55.2%,-1.7pp
Power Word Kill,B,U,29214,2.19,16742,2.28,60549,90.6%,57.8%,11880,60.3%,17888,62.4%,29768,61.6%,32344,54.7%,6.9pp
Precipitous Drop,B,C,144796,3.79,42628,4.51,109230,80.4%,55.9%,25984,55.4%,40036,58.8%,66020,57.5%,52794,54.7%,2.8pp
Ray of Enfeeblement,B,U,59598,4.18,17565,4.89,58330,80.5%,57.3%,11128,58.4%,16741,59.0%,27869,58.8%,31793,56.0%,2.7pp
Reaper's Talisman,B,U,39381,2.98,17588,3.08,64220,89.2%,56.7%,12239,57.8%,18392,59.1%,30631,58.6%,34861,55.3%,3.3pp
Sepulcher Ghoul,B,C,217084,5.96,53454,7.08,129920,72.5%,57.6%,34231,59.1%,48131,57.0%,82362,57.9%,61601,57.0%,0.8pp
Shambling Ghast,B,C,201853,5.32,42999,6.74,125974,81.6%,57.2%,29723,60.5%,42092,56.2%,71815,58.0%,63386,56.2%,1.8pp
Skullport Merchant,B,U,40978,2.99,18860,3.18,68666,89.8%,58.6%,13975,62.8%,20786,61.2%,34761,61.8%,36761,55.8%,6.0pp
Sphere of Annihilation,B,R,13719,3.11,3263,3.35,5321,45.1%,51.4%,911,49.6%,1508,50.1%,2419,49.9%,2931,52.6%,-2.7pp
Thieves' Tools,B,C,220394,6.11,34228,8.33,64241,49.9%,53.6%,12366,50.3%,17872,52.2%,30238,51.4%,35218,55.3%,-3.9pp
Vampire Spawn,B,C,220167,5.93,41665,7.59,109024,72.4%,57.6%,26955,58.2%,40226,59.7%,67181,59.1%,52662,56.1%,3.0pp
Vorpal Sword,B,R,8987,1.99,4619,1.92,15320,81.9%,54.1%,2608,53.0%,3964,54.1%,6572,53.6%,8794,54.3%,-0.6pp
Warlock Class,B,U,57983,4.1,17397,4.76,59034,79.5%,58.4%,11684,61.6%,16660,60.8%,28344,61.1%,32059,56.4%,4.7pp
Westgate Regent,B,R,6938,1.37,5491,1.33,22117,91.8%,57.7%,3765,62.5%,6513,63.4%,10278,63.0%,12426,53.6%,9.4pp
Wight,B,R,9049,1.93,5315,1.92,20260,87.6%,57.5%,3741,63.8%,5384,57.4%,9125,60.1%,11531,55.6%,4.5pp
Yuan-Ti Fang-Blade,B,C,157962,4.02,35769,5.16,101238,85.3%,55.4%,23314,55.5%,36140,55.4%,59454,55.5%,50614,55.3%,0.2pp
Zombie Ogre,B,C,227402,6.17,36103,8.5,76095,55.6%,55.2%,14076,53.8%,25015,55.4%,39091,54.8%,40801,55.5%,-0.6pp
Armory Veteran,R,C,232067,6.44,45049,8.45,84690,57.2%,54.8%,20593,54.8%,26491,51.4%,47084,52.9%,43884,56.2%,-3.3pp
Barbarian Class,R,U,72218,5.57,10211,7.65,9934,26.5%,49.8%,1917,46.7%,2823,47.9%,4740,47.4%,5410,51.8%,-4.4pp
Battle Cry Goblin,R,U,38914,2.89,20095,3.0,72107,91.2%,58.3%,15204,61.0%,19798,62.0%,35002,61.6%,39723,55.9%,5.7pp
Boots of Speed,R,C,249713,7.39,42645,9.75,67322,41.7%,54.8%,12918,54.1%,17570,51.5%,30488,52.6%,38261,56.2%,-3.6pp
Brazen Dwarf,R,C,251114,7.64,29948,10.92,17086,16.5%,51.5%,3912,50.8%,5437,49.1%,9349,49.8%,8870,52.8%,-2.9pp
Burning Hands,R,U,47442,3.43,16887,3.88,56137,85.6%,56.4%,11046,56.6%,14706,55.8%,25752,56.2%,31610,56.5%,-0.3pp
Chaos Channeler,R,U,43250,3.13,17565,3.45,61544,89.2%,57.0%,11411,57.5%,17450,57.1%,28861,57.2%,34796,56.9%,0.4pp
Critical Hit,R,U,85092,6.55,10314,9.64,6023,14.8%,52.0%,967,49.7%,1573,48.8%,2540,49.2%,3569,53.8%,-4.6pp
"Delina, Wild Mage",R,R,7682,1.63,4991,1.59,18148,89.8%,54.3%,3155,52.6%,4548,55.6%,7703,54.4%,10720,54.2%,0.2pp
Dragon's Fire,R,C,104406,2.89,52906,3.11,151492,90.0%,57.3%,37139,59.4%,49698,59.4%,86837,59.4%,76366,55.4%,4.0pp
Dueling Rapier,R,C,240198,6.9,36717,9.47,55276,40.8%,54.6%,10569,54.3%,15133,52.9%,25702,53.5%,31107,55.3%,-1.9pp
Earth-Cult Elemental,R,C,233802,6.65,36081,9.23,66332,46.6%,56.2%,11810,56.9%,20329,56.2%,32139,56.4%,36771,55.9%,0.5pp
Farideh's Fireball,R,C,179501,4.72,39309,6.1,102788,74.8%,55.8%,19415,53.6%,31032,56.1%,50447,55.1%,56404,56.2%,-1.1pp
Flameskull,R,M,3981,1.62,2855,1.58,10981,87.2%,57.1%,1963,59.3%,2676,58.4%,4639,58.8%,6440,55.6%,3.2pp
Goblin Javelineer,R,C,242212,7.21,32588,10.14,39571,33.6%,54.1%,8965,55.8%,10931,49.9%,19896,52.5%,21511,55.3%,-2.8pp
Goblin Morningstar,R,U,50555,3.57,18291,4.07,62917,88.8%,56.6%,12726,57.1%,16407,56.3%,29133,56.7%,35081,56.4%,0.3pp
Hoarding Ogre,R,C,190557,5.01,40506,6.51,118195,80.7%,56.2%,25155,56.5%,37746,55.3%,62901,55.8%,62417,56.3%,-0.5pp
Hobgoblin Bandit Lord,R,R,11915,2.55,5445,2.59,17984,78.1%,55.9%,3168,55.4%,4419,54.7%,7587,55.0%,10659,56.4%,-1.4pp
Hobgoblin Captain,R,C,168937,4.41,54896,5.15,148921,89.0%,57.0%,40047,59.3%,52186,55.7%,92233,57.2%,72240,56.8%,0.4pp
Hulking Bugbear,R,U,55830,3.9,16804,4.63,55910,87.7%,56.4%,10862,57.1%,14987,55.3%,25849,56.1%,31707,56.5%,-0.4pp
Improvised Weaponry,R,C,188874,4.89,43518,6.21,123832,79.0%,56.4%,27292,56.9%,36802,56.1%,64094,56.4%,65608,56.2%,0.2pp
Inferno of the Star Mounts,R,M,3131,1.23,2701,1.22,10907,90.8%,58.2%,1764,62.9%,2811,64.4%,4575,63.8%,6444,54.3%,9.5pp
Jaded Sell-Sword,R,C,240847,6.72,38086,9.26,62032,44.4%,55.6%,11975,55.1%,18351,54.0%,30326,54.5%,34381,56.3%,-1.8pp
Kick in the Door,R,C,264416,8.21,32136,11.67,5540,5.0%,49.5%,1032,46.4%,1408,47.4%,2440,47.0%,3224,50.8%,-3.8pp
Magic Missile,R,U,36001,2.68,18589,2.84,64982,90.6%,57.2%,12512,57.0%,17329,58.8%,29841,58.1%,36643,56.5%,1.6pp
Meteor Swarm,R,R,9275,1.92,6500,1.89,26025,90.1%,58.8%,4264,62.4%,6619,64.4%,10883,63.6%,15313,55.5%,8.2pp
Minion of the Mighty,R,R,24524,5.12,3490,7.34,693,4.6%,48.9%,123,,168,,291,,406,,
Orb of Dragonkind,R,R,26718,5.51,4039,7.89,652,3.8%,50.3%,101,,164,,265,,389,,
Plundering Barbarian,R,C,196574,5.16,47042,6.48,140466,84.6%,56.9%,32555,56.7%,43889,56.5%,76444,56.6%,73216,56.8%,-0.2pp
Price of Loyalty,R,C,230974,6.74,52372,7.98,98971,55.8%,58.7%,25766,59.1%,40521,61.9%,66287,60.8%,45152,56.5%,4.3pp
Red Dragon,R,U,40682,3.02,15924,3.34,57322,89.2%,57.1%,9760,57.7%,15899,59.4%,25659,58.7%,32822,55.8%,2.9pp
Rust Monster,R,U,72864,5.2,16933,6.51,46444,70.0%,55.2%,9038,53.4%,12506,53.6%,21544,53.5%,26367,56.3%,-2.8pp
Swarming Goblins,R,C,198445,5.22,43878,6.69,124984,79.0%,57.4%,26067,58.7%,40418,58.8%,66485,58.7%,66017,56.2%,2.6pp
Tiger-Tribe Hunter,R,U,62586,4.46,17282,5.29,49999,71.9%,55.9%,8672,53.8%,14284,53.9%,22956,53.9%,28660,57.3%,-3.4pp
Unexpected Windfall,R,C,247006,7.25,36661,10.05,51510,36.6%,54.4%,8989,51.2%,13618,52.5%,22607,52.0%,29944,56.1%,-4.1pp
Valor Singer,R,C,202327,5.27,46426,6.73,125834,80.2%,57.0%,29610,58.3%,40020,56.2%,69630,57.1%,65182,56.8%,0.3pp
Wish,R,R,28771,5.84,4330,8.47,314,1.7%,,43,,85,,128,,187,,
Xorn,R,R,13611,2.9,4720,3.13,14725,75.2%,54.6%,2589,53.0%,3662,52.7%,6251,52.8%,8685,55.7%,-2.8pp
You Come to the Gnoll Camp,R,C,263925,8.01,36752,11.16,19680,14.7%,53.9%,3192,50.7%,4914,52.4%,8106,51.7%,11835,55.3%,-3.6pp
You Find Some Prisoners,R,U,83330,6.04,12500,8.63,14386,29.0%,52.5%,2587,47.5%,3564,51.5%,6151,49.8%,8390,54.3%,-4.5pp
You See a Pair of Goblins,R,U,68715,4.76,15661,6.07,43194,70.8%,56.2%,8098,53.9%,11230,55.6%,19328,54.9%,24745,57.2%,-2.3pp
"Zalto, Fire Giant Duke",R,R,10840,2.43,4310,2.49,13653,79.5%,53.8%,2152,53.7%,3588,54.1%,5740,53.9%,8149,53.8%,0.1pp
"Zariel, Archduke of Avernus",R,M,3081,1.22,2510,1.21,9923,88.9%,58.2%,1718,64.4%,2348,62.1%,4066,63.0%,5877,54.9%,8.1pp
Bulette,G,C,238774,6.87,28643,9.82,30415,30.2%,52.2%,5689,49.2%,9648,51.5%,15337,50.7%,16462,53.2%,-2.5pp
Bull's Strength,G,C,251479,7.48,38218,10.12,63730,45.1%,55.8%,12293,53.8%,19992,56.6%,32285,55.5%,34022,55.9%,-0.4pp
Choose Your Weapon,G,U,79792,5.87,11167,8.3,18415,41.4%,53.5%,2949,52.3%,5022,54.1%,7971,53.4%,10603,53.6%,-0.2pp
Circle of Dreams Druid,G,R,19300,4.19,3015,5.48,2063,17.8%,49.1%,357,,550,46.5%,907,47.0%,1177,50.3%,-3.3pp
Circle of the Moon Druid,G,C,232057,6.49,37631,8.74,74492,58.8%,55.2%,17270,56.3%,25586,54.7%,42856,55.3%,37492,54.8%,0.6pp
Compelled Duel,G,C,262706,8.19,29361,11.74,11456,10.9%,52.0%,2030,49.4%,3277,49.2%,5307,49.3%,6435,54.2%,-4.9pp
Dire Wolf Prowler,G,C,240660,6.91,33224,9.61,45195,39.2%,53.4%,9754,51.7%,14237,51.8%,23991,51.8%,23651,54.5%,-2.7pp
Druid Class,G,U,65881,4.95,10402,6.69,20807,51.1%,53.9%,3932,53.8%,6082,54.6%,10014,54.3%,11128,53.7%,0.6pp
Ellywick Tumblestrum,G,M,3328,1.37,2326,1.31,7758,81.4%,53.7%,1277,53.6%,2078,59.0%,3355,57.0%,4444,51.5%,5.5pp
Elturgard Ranger,G,C,232360,6.48,38120,8.69,76205,54.5%,55.1%,14782,55.0%,25799,56.5%,40581,56.0%,39920,54.3%,1.6pp
Find the Path,G,C,244763,7.45,28594,10.57,18147,18.7%,50.9%,3848,48.6%,5605,49.7%,9453,49.2%,9451,52.4%,-3.2pp
Froghemoth,G,R,7701,1.6,4865,1.55,17352,86.7%,54.3%,2948,53.3%,4995,56.5%,7943,55.3%,9730,53.4%,1.9pp
Gnoll Hunter,G,C,191954,5.03,43500,6.27,100988,76.8%,55.4%,27835,57.0%,38185,55.0%,66020,55.8%,46892,54.7%,1.1pp
Green Dragon,G,U,58160,4.26,9985,5.57,21864,59.3%,52.4%,3515,51.7%,6618,52.7%,10133,52.3%,12259,52.4%,-0.1pp
Hill Giant Herdgorger,G,C,212760,5.8,42156,7.44,102937,70.0%,55.3%,20524,55.1%,38506,57.3%,59030,56.6%,52015,54.1%,2.5pp
Hunter's Mark,G,U,47842,3.45,17238,3.87,55052,84.8%,56.1%,10381,57.0%,16790,59.9%,27171,58.8%,29652,53.9%,4.9pp
Inspiring Bard,G,C,234507,6.54,37755,8.82,77546,58.8%,55.6%,16569,54.5%,26662,56.5%,43231,55.7%,39649,55.2%,0.6pp
Instrument of the Bards,G,R,19750,4.25,3191,5.56,2656,20.5%,49.6%,437,,664,45.9%,1101,45.5%,1563,52.5%,-7.0pp
Intrepid Outlander,G,U,48239,3.48,15341,3.98,49255,86.1%,56.0%,10258,58.3%,14840,56.5%,25098,57.2%,26263,55.0%,2.3pp
Loathsome Troll,G,U,70674,5.18,10548,7.09,17455,43.8%,51.5%,2899,46.7%,8466,48.4%,11365,47.9%,9721,53.1%,-5.2pp
Long Rest,G,R,22879,4.74,4120,6.28,4605,27.1%,51.7%,698,48.9%,1262,51.4%,1960,50.5%,2663,52.5%,-2.0pp
Lurking Roper,G,U,59745,4.38,16379,5.03,46683,76.1%,55.8%,9866,57.4%,15424,57.0%,25290,57.2%,24153,54.5%,2.7pp
Neverwinter Dryad,G,C,245780,7.48,28890,10.57,25476,25.5%,52.4%,5509,53.1%,7617,50.9%,13126,51.8%,13465,52.5%,-0.7pp
Ochre Jelly,G,R,8293,1.73,5302,1.7,19961,89.7%,55.8%,3513,56.3%,5707,58.5%,9220,57.7%,11108,54.3%,3.3pp
Old Gnawbone,G,M,3464,1.5,2256,1.43,7904,83.4%,54.9%,1217,55.1%,2436,59.1%,3653,57.7%,4385,52.6%,5.2pp
Owlbear,G,C,147187,3.9,45474,4.53,111801,81.8%,55.6%,26688,56.4%,44708,58.0%,71396,57.4%,53643,53.8%,3.6pp
Plummet,G,C,272960,9.0,28688,12.83,2249,2.1%,48.5%,376,,562,47.3%,938,47.5%,1325,48.8%,-1.3pp
Prosperous Innkeeper,G,U,46497,3.44,13475,3.91,42622,83.1%,55.7%,8909,59.6%,12803,57.6%,21712,58.4%,22449,53.4%,5.0pp
Purple Worm,G,U,51169,3.77,13562,4.44,38979,77.3%,54.1%,6390,52.5%,12067,54.9%,18457,54.1%,21605,54.1%,-0.0pp
Ranger Class,G,R,7150,1.47,5490,1.42,21917,90.9%,58.7%,4089,69.1%,6150,62.4%,10239,65.1%,11799,53.2%,11.9pp
Ranger's Longbow,G,C,265688,8.24,29698,11.75,9913,9.2%,50.7%,1701,45.4%,2652,49.1%,4353,47.6%,5646,53.0%,-5.4pp
Scaled Herbalist,G,C,258873,8.15,28234,11.67,12379,12.3%,50.5%,2381,50.4%,3584,47.6%,5965,48.7%,6781,51.5%,-2.8pp
Spoils of the Hunt,G,C,176913,4.72,46819,5.7,113465,80.2%,55.5%,27292,54.1%,43796,57.8%,71088,56.4%,53546,54.4%,2.1pp
Sylvan Shepherd,G,C,221782,6.17,30101,8.67,55743,53.8%,54.1%,12561,54.6%,18903,53.5%,31464,53.9%,28203,53.9%,0.0pp
The Tarrasque,G,M,4548,2.17,1896,2.12,4754,61.7%,53.1%,721,53.7%,1396,57.7%,2117,56.4%,2652,50.6%,5.7pp
Underdark Basilisk,G,C,207211,5.45,38344,7.16,92053,75.0%,54.7%,22909,54.7%,34183,54.4%,57092,54.5%,44254,54.4%,0.1pp
"Varis, Silverymoon Ranger",G,R,7831,1.58,5039,1.53,18484,87.1%,56.5%,3279,63.0%,5247,60.2%,8526,61.3%,10323,52.5%,8.8pp
Wandering Troubadour,G,U,44595,3.3,14557,3.74,45438,83.9%,55.4%,8840,56.7%,14130,56.6%,22970,56.7%,24437,54.4%,2.2pp
Werewolf Pack Leader,G,R,8107,1.71,4875,1.67,17619,86.3%,56.5%,3338,63.0%,4716,58.2%,8054,60.2%,9892,53.7%,6.6pp
Wild Shape,G,U,92050,7.12,11436,10.33,6927,15.0%,54.0%,1139,53.1%,1850,54.2%,2989,53.8%,3999,54.1%,-0.4pp
You Find a Cursed Idol,G,C,247024,7.3,29947,10.44,32618,29.3%,51.7%,5964,47.1%,8913,51.2%,14877,49.5%,18218,53.3%,-3.8pp
You Happen On a Glade,G,U,70207,5.0,12437,6.61,29150,59.5%,53.7%,5519,51.4%,8165,55.6%,13684,53.9%,15981,53.5%,0.4pp
You Meet in a Tavern,G,U,74987,5.35,12430,7.25,24288,50.0%,54.5%,4083,52.3%,6640,54.7%,10723,53.8%,13847,55.0%,-1.3pp
Adult Gold Dragon,WR,R,7870,1.63,5867,1.58,23589,91.4%,57.4%,4088,61.8%,6300,63.1%,10388,62.6%,13629,53.7%,8.9pp
Bard Class,RG,R,26363,5.55,3863,8.01,92,0.6%,,13,,23,,36,,57,,
Barrowin of Clan Undurr,WB,U,57233,4.3,13211,5.18,27395,58.3%,53.9%,5411,52.9%,9838,58.4%,15249,56.4%,14035,52.1%,4.3pp
Bruenor Battlehammer,WR,U,54273,4.14,16026,4.56,34811,61.8%,54.1%,7311,56.7%,10128,57.0%,17439,56.9%,19145,51.7%,5.2pp
Drizzt Do'Urden,WG,R,8005,1.65,5473,1.59,20432,86.7%,57.4%,3517,63.0%,5900,64.2%,9417,63.7%,11355,52.6%,11.2pp
"Farideh, Devil's Chosen",UR,U,67918,5.35,12244,6.63,14504,35.4%,51.8%,3056,50.1%,5096,51.2%,8152,50.8%,7306,52.6%,-1.8pp
Fighter Class,WR,R,17373,3.88,4484,4.27,7949,44.8%,52.4%,1420,46.8%,1908,50.6%,3328,48.9%,4643,54.8%,-5.9pp
Gretchen Titchwillow,UG,U,75332,5.85,12439,7.58,13512,30.6%,52.7%,2892,53.8%,4857,55.7%,7749,55.0%,6668,50.6%,4.4pp
"Hama Pashar, Ruin Seeker",WU,U,70646,5.47,11263,7.16,12445,32.9%,48.3%,2521,44.2%,4451,50.2%,6972,48.1%,6224,48.6%,-0.5pp
"Kalain, Reclusive Painter",BR,U,52207,4.04,17885,4.28,54673,78.2%,58.4%,11758,63.2%,16367,57.5%,28125,59.9%,28970,56.9%,3.0pp
Krydle of Baldur's Gate,UB,U,59375,4.5,11839,5.56,22588,53.5%,54.6%,4608,57.4%,7942,58.1%,12550,57.9%,11313,51.7%,6.2pp
"Minsc, Beloved Ranger",WRG,M,5770,2.65,2169,2.61,4326,48.0%,53.9%,656,56.4%,1131,52.3%,1787,53.8%,2569,54.0%,-0.2pp
Monk Class,WU,R,18790,4.25,3940,4.91,4217,28.1%,47.5%,786,45.7%,1290,49.8%,2076,48.3%,2189,46.9%,1.4pp
"Orcus, Prince of Undeath",BR,R,7762,1.64,5931,1.58,23798,90.4%,58.1%,3934,61.7%,6549,64.7%,10483,63.6%,13692,54.2%,9.4pp
Rogue Class,UB,R,15177,3.55,3712,3.97,5625,40.8%,49.0%,922,41.6%,1654,47.7%,2576,45.5%,3091,51.8%,-6.2pp
"Shessra, Death's Whisper",BG,U,76242,5.68,12472,7.62,17300,36.5%,53.2%,3152,50.0%,5289,52.6%,8441,51.6%,9442,54.1%,-2.5pp
Skeletal Swarming,BG,R,8832,1.93,5711,1.84,21317,88.5%,54.2%,3597,54.3%,6046,56.6%,9643,55.7%,11824,53.0%,2.7pp
Sorcerer Class,UR,R,24649,5.36,3700,7.43,428,2.8%,,83,,126,,209,,223,,
"Targ Nar, Demon-Fang Gnoll",RG,U,67485,5.09,15142,6.01,29317,52.2%,56.4%,6746,58.7%,8785,57.0%,15531,57.7%,15491,55.3%,2.5pp
Tiamat,WUBRG,M,7687,3.42,1796,3.91,1063,14.5%,51.3%,159,,294,,453,,619,51.1%,
"Trelasarra, Moon Dancer",WG,U,57182,4.45,13243,5.13,30938,65.3%,55.8%,6884,59.4%,10765,56.7%,17649,57.8%,15411,53.7%,4.1pp
Triumphant Adventurer,WB,R,10797,2.4,4859,2.27,14214,71.1%,55.4%,2544,63.3%,4399,59.4%,6943,60.8%,7800,51.2%,9.6pp
"Volo, Guide to Monsters",UG,R,11170,2.49,4760,2.39,12324,66.3%,52.9%,2132,53.7%,3878,56.7%,6010,55.6%,6617,50.9%,4.8pp
"Xanathar, Guild Kingpin",UB,M,3404,1.35,2762,1.33,10488,89.2%,55.2%,1730,58.0%,3296,60.0%,5026,59.3%,5737,51.6%,7.7pp
Bag of Holding,,U,90004,6.56,11610,9.48,7296,16.1%,49.8%,1378,43.9%,1847,48.0%,3225,46.3%,4094,52.5%,-6.2pp
The Deck of Many Things,,M,3740,1.69,2479,1.59,9455,91.1%,52.7%,1510,48.7%,2555,53.6%,4065,51.8%,5405,53.3%,-1.6pp
Dungeon Map,,U,71750,4.91,12787,6.52,31098,58.4%,52.3%,5580,49.5%,8636,52.5%,14216,51.3%,17183,53.2%,-1.8pp
Eye of Vecna,,R,12637,2.88,3735,2.95,9163,65.5%,51.4%,1672,46.9%,2290,50.3%,3962,48.9%,5221,53.4%,-4.5pp
Fifty Feet of Rope,,U,86270,6.27,10555,9.09,8559,19.9%,50.1%,1546,45.1%,2320,49.6%,3866,47.8%,4734,51.9%,-4.1pp
Greataxe,,C,270529,8.49,27789,12.2,5816,5.7%,51.2%,987,46.1%,1493,49.6%,2480,48.2%,3398,53.1%,-4.9pp
Hand of Vecna,,R,9855,2.26,4951,2.19,17308,85.4%,54.4%,3026,55.0%,4371,53.9%,7397,54.3%,9945,54.4%,-0.1pp
Iron Golem,,U,85400,6.02,9985,8.88,10010,26.1%,53.2%,1788,49.4%,2934,52.9%,4722,51.6%,5580,54.6%,-3.0pp
Leather Armor,,C,269179,8.27,27441,11.98,6161,6.1%,51.3%,1059,50.1%,1554,47.0%,2613,48.3%,3634,53.2%,-4.9pp
Mimic,,C,265309,8.04,24385,11.85,4059,4.5%,48.4%,789,45.2%,1103,46.1%,1892,45.7%,2245,50.2%,-4.5pp
Spare Dagger,,C,270170,8.2,36293,11.4,17807,13.3%,53.5%,3484,53.1%,5273,52.9%,8757,53.0%,9659,53.8%,-0.8pp
Spiked Pit Trap,,C,249740,6.8,31616,9.77,39360,32.0%,52.9%,7000,49.7%,11346,54.4%,18346,52.6%,21867,53.1%,-0.5pp
Treasure Chest,,R,16152,3.56,2533,4.35,3510,37.8%,47.2%,553,39.6%,960,46.7%,1513,44.1%,2023,49.4%,-5.3pp
Cave of the Frost Dragon,,R,9781,2.14,4791,2.13,15353,80.0%,54.9%,2799,57.9%,3746,55.9%,6545,56.7%,8858,53.5%,3.2pp
Den of the Bugbear,,R,11082,2.31,5467,2.38,20596,86.6%,58.0%,3755,63.0%,4862,57.4%,8617,59.8%,12055,56.6%,3.2pp
Dungeon Descent,,R,27514,5.55,3938,7.91,789,4.7%,47.1%,159,,201,,360,,430,,
Evolving Wilds,,C,204471,4.93,43345,6.66,138451,90.5%,55.2%,30352,56.9%,39119,53.2%,69471,54.8%,73949,55.5%,-0.6pp
Hall of Storm Giants,,R,11273,2.51,3880,2.57,10077,69.2%,54.3%,1851,58.9%,2826,57.0%,4677,57.8%,5453,51.3%,6.5pp
Hive of the Eye Tyrant,,R,11876,2.5,4971,2.58,18204,84.2%,57.3%,3378,60.2%,4521,57.2%,7899,58.5%,10366,56.4%,2.1pp
Lair of the Hydra,,R,10494,2.32,4672,2.32,15289,81.2%,56.5%,2839,59.0%,3908,58.4%,6747,58.6%,8622,54.9%,3.8pp
Temple of the Dragon Queen,,U,74575,4.96,16816,6.68,57764,87.1%,55.0%,11612,56.8%,15089,53.2%,26701,54.8%,32020,55.2%,-0.4pp
Treasure Vault,,R,24655,4.94,3376,6.95,2436,17.1%,51.4%,382,,648,49.8%,1030,49.8%,1415,52.7%,-2.8pp
Angel of Sanctions,W,M,458,,367,,1553,90.0%,61.0%,260,,455,,715,68.4%,844,55.0%,13.4pp
Anointed Procession,W,R,2075,3.37,436,,598,32.0%,52.5%,91,,188,,279,,318,,
Anointer Priest,W,C,37656,6.2,5104,8.72,10414,52.0%,57.1%,2106,56.1%,3436,58.6%,5542,57.7%,5331,56.9%,0.7pp
Approach of the Second Sun,W,R,1862,2.71,810,2.61,2712,71.0%,55.9%,456,,1274,69.2%,1730,64.7%,1279,52.5%,12.2pp
Aven Mindcensor,W,R,2174,3.34,491,,1455,67.6%,54.4%,237,,404,,641,54.3%,820,54.5%,-0.2pp
Aven of Enduring Hope,W,C,36346,5.66,6181,7.69,16519,67.2%,57.9%,3156,55.5%,5376,59.5%,8532,58.0%,8728,57.8%,0.2pp
